"","X","x","tweet"
"3295",3295,"positive","@united thanks! Everything a-ok now."
"3296",3296,"positive","@united DM sent. Thanks so much for the strong customer service!!"
"3297",3297,"negative","@united just delayed my flight to SLC by 2.5 hours. What gives? #snowforce"
"3298",3298,"positive","@united ok thanks. I sent you a DM too. You can disregard that."
"3299",3299,"positive","@united So excited I was put on an earlier flight to get home! Woo Hoo! #travel 🎉🎉🎉"
"3300",3300,"negative","@united your airline is a joke. 1 person working special services at EWR?!? Line is 15 ppl deep. GROW UP!"
"3301",3301,"negative","@united More concerned that you close a club I paid alot for at 10.  Last flight 11:15p.  The construction going on is very inconvenient."
"3302",3302,"positive","@united perfect! Thank you!"
"3303",3303,"negative","@united care less about the person - although he walked away while I was complaining.  A man at 10p at LAX club.  More....."
"3304",3304,"negative","@united smiling? NOT!!"
"3305",3305,"negative","@united worst airline in the world-8 delays, gate agent loses her mind over 1.5 lbs and charges me $100 on top of the $25 I already paid!!"
"3306",3306,"neutral","@united will I make it with the delay?"
"3307",3307,"negative","@united @bwood we'd prefer everyone hear our complaints amount your airline"
"3308",3308,"negative","@united why do you bother surveying me!"
"3309",3309,"neutral","@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please."
"3310",3310,"negative","@united worst airline ever after 70+ legs of travel I am officially done.  On time is not in their vocab.  I'm taking my premier status to A"
"3311",3311,"neutral","@united looking back - never heard from anyone - I had to call and frankly got standard SOP - still think about it today"
"3312",3312,"negative","@united Donna and Juan still the best in the United Club_ too bad UAL does not get it"
"3313",3313,"neutral","@united I am on 1528 and my connecting flight is 909"
"3314",3314,"neutral","@united Just got interrogated at the United Club Chicago. #UnitedAirlines #rude #PoorForm"
"3315",3315,"negative","@united I just want to contact someone with a question &amp; not be put on hold for 5 minutes in order to be hung up on or sent to the pet line"
"3316",3316,"neutral","@united can I access Frankfurt arrival lounge when I'm flying global first class?"
"3317",3317,"negative","@united keeps delaying my flight, horrible customer service"
"3318",3318,"positive","@united has the best pilots ever Thank you guys for the great trip #thatisall"
"3319",3319,"negative","@united - I really down think downgrading the booze/food selections at the club is a good way to go.  How about you look @aircanada?"
"3320",3320,"negative","@united You guys are atrocious.  Far better service as silver on Delta than you as a platinum.  I'll be switching back to delta."
"3321",3321,"positive","@united I will thank you!"
"3322",3322,"positive","@united thanks for making sure they hear the message!"
"3323",3323,"neutral","@united @NTrustOpen can i go  #GolfUnited"
"3324",3324,"neutral","@united I got an email from cust. care for an issue I had offering me a voucher. How do I claim that? I emailed back but got no reply. DM me"
"3325",3325,"negative","@united I have and been denied! I called and got hung up on. Did speaks with manager on second call"
"3326",3326,"negative","@united Club DEN, East or West, both are disgusting. http://t.co/XijYrPsLZK"
"3327",3327,"negative","@united installed and working are not the same. Kicked me out after an hour and wouldn't let me back in. Four wasted hours."
"3328",3328,"neutral","@united i would like to know if its possiable to checkin online or must it be done at Schiphol?"
"3329",3329,"neutral","@united how do you go fr Silver Elite for two straight years to group 5 all the time?  I get no group 2 but maybe 3 or 4?  What's up?"
"3330",3330,"negative","@united that's what I tried to do, but when entering email into 2nd device made email typo. No way to fix it &amp; no option to log out/in!!!"
"3331",3331,"neutral","@united What delivery service do you use? I'd like to call them myself."
"3332",3332,"negative","@united so the 4-6hrs that you told me was what? A guess?? They've apparently had the bag 20hrs now and no call."
"3333",3333,"positive","@United  my home for the next 8.5 hrs. 777 GFC! :) http://t.co/MKpoGNntYC"
"3334",3334,"positive","@united Thank you."
"3335",3335,"positive","@united @perfectomobile I have to admit that not only the app is good but have lots of useful func (such the ""live"" seat map). Congrats"
"3336",3336,"negative","@united still waiting 4 our bags. Web STILL can't tell me its location . How come @UPS @FedEx can tell u at any given minute where it is?"
"3337",3337,"negative","@united seriously? After waiting 2 hours on the plane for my 10:20 flight to leave at 3pm I have to leave the plane? Great. Just great."
"3338",3338,"positive","@united kind of cool to run into your boss man at SFO. http://t.co/bm9O2K5X5J"
"3339",3339,"positive","@united Got a call. Bag is to be delivered tonight. Thanks for your reply!!"
"3340",3340,"positive","@United Global First Class Lounge ORD menu. Yummy! http://t.co/egKvFoKogj"
"3341",3341,"positive","@united pleasantly surprised with quality of service and flight.Flew LGA-CLE-DEN. Friendly crew. Love the concept of #byod #worksnicely"
"3342",3342,"negative","@united ""We like hearing from you."" So why haven't you replied to my tweet and/or email yet? https://t.co/caf2cx3gfi"
"3343",3343,"negative","@united Rude grouchy agent at Dulles check-in just got my 19 hour trip off to a lousy start. He needs a nap or something."
"3344",3344,"negative","@united 1k use to be special.  80 people in group one.   Why not board global AND 1k together? http://t.co/qd2lyUXAZg"
"3345",3345,"negative","@united thats because you didnt read my entire tweet. Wife's 12pm flight is now delayed to 6:30.  Thats 3 6+ hour flight delays in 2 weeks"
"3346",3346,"negative","@united As it always is. Helps to communicate to customers."
"3347",3347,"negative","@united I'm not as sure as you are. http://t.co/HSMpbSF4UF"
"3348",3348,"negative","@united how does that help me with my customers that I couldn't meet with (and subsequently lost)?"
"3349",3349,"positive","@united thank you. I will address it with them"
"3350",3350,"negative","@united problem is on laptop not phone"
"3351",3351,"negative","@united question - was given food vouchers but can't use on plane..how   come"
"3352",3352,"neutral","@united it's cool. I didn't need to go to work today. Or get home to make sure my house is ok in the -30 wind chill."
"3353",3353,"neutral","@united please reroute Oregon Women's Tennis to Santa Barbara. There's supposedly another connection from LA."
"3354",3354,"negative","@united the wifi in the ewr lounge reminds me of the old days of dial up"
"3355",3355,"negative","@united needs to pay for my car. I could have been on my flight if 4 help desks did not say it already left. Shame."
"3356",3356,"negative","@united too long for 140 characters"
"3357",3357,"negative","@united Bos-SF was in between waivers. Business Cancelled Flighted due to weather before/after. No flexibility/compassion in extreme circumstances = 😔"
"3358",3358,"negative","@united tried that already &amp; tried forgetting the wifi network connection. Still forces log in with incorrect email. Other suggestions?"
"3359",3359,"negative","@united I see you tweeting as little as 7 min ago. Are you just ignoring my CS request? #CantLogOutOfUnitedWifi"
"3360",3360,"negative","@united or did you mean 24-26?"
"3361",3361,"negative","@united has it been 4-6hrs yet?"
"3362",3362,"negative","@united anyone awake? Paying for wifi on iPhone when need to be using it on laptop. Logout option for wifi in flight? Time is wasting!"
"3363",3363,"negative","@United does a great job of answering public messages. Direct private messages, not so much."
"3364",3364,"negative","@united I work in customer support- extremely saddened United won't waive change fee for flights I had to Cancelled Flight due to east coast storms."
"3365",3365,"negative","@united how's my refund coming along??"
"3366",3366,"negative","@united ANOTHER F*CKING DELAY IN THE PAST 32 HOURS!?"
"3367",3367,"neutral","@united online inchecking able in the Netherlands (ams)?"
"3368",3368,"negative","@united 777 from SFO to HNL with ZERO entertainment systems???!!!#youareonyourown"
"3369",3369,"negative","@united how do you log out of wifi in flight? Don't see any option and made typo when logging in. HELP!!"
"3370",3370,"neutral","@united When will you have special promotions for flights departing Newark, NJ to St. John's, Antigua?"
"3371",3371,"negative","@united flight UA5631 from SFO to Burbank has been delayed twice now. Still no plane in sight. Get it together."
"3372",3372,"negative","@united Just saying the truth. You don't even an email! #2015"
"3373",3373,"negative","@united MR, she's on her way now, but thought id detail the extravaganza for you... #dobetter #please http://t.co/V8PVpHMtZc"
"3374",3374,"neutral","@united Hi if a premium ec upgrade was paid for &amp; then a mileage BF upgrade done is the prem Eco upgrade fare refunded?"
"3375",3375,"neutral","@United, #deaffriendly? Getting there. Read your review on http://t.co/2Brt0aTHaU: http://t.co/WzNp5q1M0H"
"3376",3376,"negative","@united we followed the baggage rules on your website and was still charges $150. But only going one way"
"3377",3377,"negative","@united I sent you a dm hours ago"
"3378",3378,"negative","@united Need to track lost luggage being shipped to me. Need ph # for human. Not automated 800-335-2247."
"3379",3379,"neutral","@united DM the conf # to you - did you receive it?"
"3380",3380,"negative","@united no it weighed 45.5 and it was the only checked bag"
"3381",3381,"neutral","@united still waiting for a response on whether or not you allow use of a rear facing car seat on an ERJ145."
"3382",3382,"negative","@united nonrefundable, hence I wrote $200! Doesn't make sense for my 150 credit. #nothanks"
"3383",3383,"negative","@united your website was down all day yesterday- tried 3x put all info in&amp;didnt go thru- today the flight I bought went up!"
"3384",3384,"negative","@united you do realize my wife is waiting on a delayed flight at this very moment.  I'm not sure I understand your tweet."
"3385",3385,"negative","@united I'm a minor and freaking out bc I might not make my connecting flight to Hawaii so yes I'm frustrated"
"3386",3386,"positive","@united so sorry. I ended up on US Air flight. Thank you though for getting back to me:)"
"3387",3387,"negative","@united I have been denied. Not sure how you charge $150 one way then $25 on way hime"
"3388",3388,"neutral","@united @estellevw does she need to complain on Twitter for the refund or is it auto-applied?"
"3389",3389,"negative","@united even so, change could not be made  online- instructed to call an agent- maybe the syastem should allow agents 2 link passengers!"
"3390",3390,"negative","@united Case ID 8544484"
"3391",3391,"neutral","@united no, I have a pricey Chase Mileage Plus CC."
"3392",3392,"negative","@united your Airbus a320 seats are awful. They don't recline."
"3393",3393,"negative","@united to DM you I have to follow you and I'm not doing that. Plus they're no more options. That's why I had to fly with you. #epicfail"
"3394",3394,"positive","@United  great way to start my vacation with an on time departure! Looking forward to my global first class suite!"
"3395",3395,"neutral","@united I have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
http://t.co/3fq3XElbOn"
"3396",3396,"negative","@united - why am I sitting on this plane for an hour after scheduled takeoff without a cloud in the sky? #keepusguessing #isthisyourfirsttry"
"3397",3397,"positive","@united Thank you for responding so promptly! I look forward to the 240 kms drive to the office to file a claim."
"3398",3398,"positive","@united that would be great"
"3399",3399,"neutral","@united Death in the family cannot make flight tomorrow. Phone rep quoted $440 per person fee, which is almost the cost of ticket. Help?"
"3400",3400,"negative","@united of the airplane otherwise they would call the Police, because the flight had to take off before 12h30am"
"3401",3401,"negative","@united @perfectomobile huh?  I have sent 16 crash reports in Feb alone.  8 in one day.  Only app I have that consistently crashes."
"3402",3402,"negative","@united I was abused , threatened and forced to travel in a lower cabine (last seat) in yesterday's flight from Houston to Sao Paulo"
"3403",3403,"positive","@united You're welcome."
"3404",3404,"negative","@united Contacted yesterday and was told that there's nothing they can do - they suggested I email for some compensation ??? cust service???"
"3405",3405,"neutral","@united I'm a UA 1k. I think it's @iamtedking who was looking for help"
"3406",3406,"neutral","@united  RES # 0167560070877     Fsqthg   Thanks"
"3407",3407,"negative","@united unfortunately, that doesn't help. Just an automated computer."
"3408",3408,"positive","@united flt 1583 EWR to SFO excellent service. Friendly flight attendants. made the 6AM flight a very good start to the day."
"3409",3409,"positive","@united Yes ! :D (Y) From @therealaviation on Instagram :)"
"3410",3410,"neutral","@united @perfectomobile You really shouldn't use the word 'crashing.' Just sayin'."
"3411",3411,"negative","@united airlines delayed our flight on the way to Chicago and leaving Chicago. Next time @Delta it is."
"3412",3412,"negative","@united They inquire and then do nothing about it...pretend they’re interested. Responded to your DM and no response back..."
"3413",3413,"neutral","@united need assistance to change flight to get to an ailing parent..
have flight leaving Tuesday need to change ASAP to sooner #custserv"
"3414",3414,"negative","@united I must stop my relationship with you. You've become greedy and heartless and our long term relationship is over"
"3415",3415,"negative","@united your customer service is lacking and you owe me a @GoPro camera. I also appreciate not being interrupted every time I speak Thanks"
"3416",3416,"neutral","@united you need to follow me I order for me to DM...."
"3417",3417,"negative","@united Can i get a refund? I would like to book on a better airline."
"3418",3418,"negative","@united whom can I call to discuss - as I was told that united has no phone contact with passengers  - this is absurd..."
"3419",3419,"negative","@united messaged you as requested- and called your baggage team again. It's STILL in Newark. please help or let me know next steps!!"
"3420",3420,"neutral","@united Airlines is changing #mileageplus program March 1 http://t.co/4ojE523PTw"
"3421",3421,"neutral","@united There is only one club at LAX  - in terminal 7 across from gate 71"
"3422",3422,"neutral","@united @perfectomobile Definately not an award for employer of the year #united13"
"3423",3423,"negative","@united I guess that's not the busiest route, so based on traffic/fuel costs, regional jet is the decision, but still not great 4 travelers."
"3424",3424,"negative","@united Flight delayed 40 minutes in ORD because plane didn’t have all the food. That should be fixed in the future. It’s a dumb delay."
"3425",3425,"neutral","@united  Need to change flight from this Tuesday to sooner to attend to ailing parent in FL, Need help!! #custserv"
"3426",3426,"negative","@united need to chat with an actual human ASAP!"
"3427",3427,"neutral","@united I have already emailed but I didn't know if it was more expedient to contact you here. Please advise. Thanks."
"3428",3428,"negative","@united I got an email saying ""changes to my MileagePlus account are confirmed"" but I didn't make any changes. Help?"
"3429",3429,"neutral","@united yes when I landed."
"3430",3430,"positive","@united Joni did a great job on flight 5653 to LAX. Thanks for a great flight."
"3431",3431,"positive","@united So far so good. Just stepped down in Denver. Next Stop Portland!"
"3432",3432,"negative","@united 3/10 disappointed in the service. Will be missing my connection after over an hour delay + cramped seats. At least their app is good"
"3433",3433,"negative","@united what a joke. Hang up on customers!!"
"3434",3434,"negative","@united Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!"
"3435",3435,"positive","@united #OrthoDoc on-call to in-flight! Glad to have been of service!"
"3436",3436,"negative","@united So publicly you asked for details on my flt. Sent you a DM, like you asked, and have yet (2 days) to hear from you. #unitedfail"
"3437",3437,"positive","@united flight attendant regains karma by giving big sweaty dad cold water. Guy was running &amp; carrying his daughter.  Last one onboard."
"3438",3438,"negative","@united really hoping to get some help here.  On my 5th attempt to get a resolution, and lost count of transfers.  help please! #mileageplus"
"3439",3439,"neutral","@united @iamtedking http://t.co/UCZzP9YpHk click lounges tab. Need to be flying on supported S/A airline"
"3440",3440,"negative","@united I sent you a dm with my file reference number.. I just want to know if someone has located my bag even if it's not here yet."
"3441",3441,"positive","@united I just want shout out a thank the pilots and staff on the Feb 13 flight from Newark to Boston at 4:40pm.  They were super helpful!"
"3442",3442,"negative","@united can you help from there? UA4935 can't take off without missing galley cart that no one can find. Pax all seated for last hour."
"3443",3443,"neutral","@united For my Grandma Ella's 80th, she would love a birthday greeting from your flight crew! She was a stewardess for Eastern Airlines."
"3444",3444,"neutral","@united is hiring - Flight Dispatcher - Chicago, IL (Network Operations Centerl) https://t.co/lio6oCpTEQ"
"3445",3445,"negative","@united That doesn’t make any sense. I’ve been 1K for over 5 years, and you’re making it harder to keep me loyal."
"3446",3446,"neutral","@united have all 747-400s been updated with power outlets and seat-back TVs yet? Flying ORD to Tokyo-Narita on the 28th"
"3447",3447,"negative","@united I need you to get my cousin to PDX, she's on 2 days of travel now and we've had to hire other sitters til she arrives, thx for that"
"3448",3448,"positive","@united Keep the flights cheap and early/on time and you are good. Flew @AmericanAir  and Cancelled Flightled my flight 4 times last month. United&gt;"
"3449",3449,"negative","@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/"
"3450",3450,"negative","@united I did, and as I thought, nothing happened"
"3451",3451,"negative","@united I'm not booked on a 1:30 return flight.."
"3452",3452,"negative","@united the flt TO ORD is correct.  Per my DM- it is the flight from ORD to CVG I was charged for incorrectly"
"3453",3453,"negative","@united You need to change the way customer service is handled! I have been waiting for a supervisor to contact me for 17 days, what gives?"
"3454",3454,"negative","@united I need to talk with an actual person about missing luggage. Please advise on how to make that happen."
"3455",3455,"negative","@united I know I can see that too but now estimated time of dep. is 10am. I don't understand why there wasn't a better estimate 3 hrs ago"
"3456",3456,"neutral","@united any news?"
"3457",3457,"negative","@united ""where we trick you into making us look popular on Twitter by being the worst airline"" #wellplayed #jokesonus"
"3458",3458,"negative","@united why do I have to request refund? Why charge twice in first place?"
"3459",3459,"negative","@united I'll be calling soon but going tomorrow like it shows on the app is not a good option"
"3460",3460,"negative","@united I’ve filled out the form twice. No email. I have a lost item code. Can you verify it was received?"
"3461",3461,"positive","@united message sent. Thank you!"
"3462",3462,"negative","@united that's what I have been told. But refund doesn't really makeup for the inconvenience caused and the missed meeting... Does it?"
"3463",3463,"neutral","@united THIS IS THE  YEAR FOR VAN GOGH FANS TO VISIT EUROPE
http://t.co/e1EOfthgAJ"
"3464",3464,"neutral","@united @AmericanAir THIS IS THE  YEAR FOR VAN GOGH FANS TO VISIT EUROPE
http://t.co/e1EOfthgAJ"
"3465",3465,"negative","@united please explain why I need to pay bag fees twice, equally $1200, because a delayed flight resulted in bags being rechecked overnight?"
"3466",3466,"negative","@united - watched the entire #UNCvsDUKE game on the Tarmac before Cancelled Flighting my flight because crew timed out, right before my 4hr flight...."
"3467",3467,"negative","@united reFlight Booking Problems would not have made me reach on time for my meeting. Also didn't wanna take a chance, Booked myself on @etihad instead"
"3468",3468,"neutral","@united - who can eat at an airport for $7? #areyounew? #incompetent #no800number #feeltheheat"
"3469",3469,"negative","@united - vacation days: relevant, Ritz in PR for the night: $700, losing a day to idiots and sleeping at the Newark ramada; #priceless"
"3470",3470,"negative","@united - That time when I spent a night trying to sleep in a toddler bed at the airport Ramada without my luggage you kidnapped #furious"
"3471",3471,"negative","@united I am calling to check on a future flight and your first agent hung up and now you sent me to the pet travel line!! This is HELL!!"
"3472",3472,"negative","@united fyi the site/app still shows plenty of the unavailable flights I had errors with. Almost 24 hrs after sellout. Flying @AmericanAir"
"3473",3473,"negative","@united sure... You've been saying that for as long as I've been tweeting about your obsolete fleet.  Promises are free."
"3474",3474,"positive","@united followed and messaged. Thanks so much for the help."
"3475",3475,"neutral","@united I did not.  That's why I am VERY concerned."
"3476",3476,"negative","@united Please consider letting flyers with no overhead bin items board/deplane first (after first class). Make sense?"
"3477",3477,"negative","@united i will never be flying with #UnitedAirlines ever again. $285 for checked bags? All under 50lbs? #angrycustomer #unitedairlinessuck"
"3478",3478,"positive","@united Thanks JT"
"3479",3479,"neutral","@united Trying to locate passenger that landed 2 hrs ago in @HeathrowAirport UA938. can you assist? Is flight still in customs? PLEASE help"
"3480",3480,"positive","@united Thank you! Off to LA to do something very special."
"3481",3481,"negative","@united The flight turned around for mechanical reasons on 1/30/15.  Never to fly United again as they don't check their planes properly."
"3482",3482,"negative","@united Is it customary to upgrade a flight attendant in uniform vs passengers? One is in 1B on flt 1020 now to IAH"
"3483",3483,"negative",".@united you should really have that addressed somewhere on the website, find that completely irritating &amp; am unable to take my flight now."
"3484",3484,"negative","@united UA1740. 4.5 hr mechanical delay all I get is $50 voucher? Will tweet when I book next trip not on UA."
"3485",3485,"negative","@united spends 20 minutes beating up a lady about her bag fees.  Random stranger comes up and pays the fee.  #Randomactsofcorporategreed"
"3486",3486,"neutral","@united for a fee..."
"3487",3487,"negative","@united hi.I am still waiting for the refund. This is ridiculous.Or u approve my tickets or u give me a refund.Please advise wht is going on"
"3488",3488,"neutral","@united Hi, booked a flight yesterday and received an email w/ confirmation number but today I got this error ""no active flight segments"""
"3489",3489,"neutral","@united any updates with the DOT looking at the united fares from London to the US from last week?"
"3490",3490,"negative","@united thanks ^mr i got rebooked already but I lost my first class seat. Such is life."
"3491",3491,"negative","@united booked a flight yesterday, appeared in my account + confirm email but since a few hours all disappeared and err ""no segment in this"""
"3492",3492,"negative","@united no- we are boarding- but why can't your agents, on the phone, taking care of 1K travellers, link reservations?!?!!"
"3493",3493,"negative","@united EWR ppl told me to call 1800#, have 2x/day since Monday. Still at layover loc. have that ref # tho. Any help appreciated."
"3494",3494,"negative","@united Ruth was VERY helpful in re-routing us to Punta Cana when Dulles connection failed. Other reps- NOT so helpful."
"3495",3495,"positive","@united Thank you!! 😊"
"3496",3496,"negative","@united we booked at the same time AND he called was told confirmed we were linked. Even after he had to make changes to his rez."
"3497",3497,"negative","@united you board a 630a flight and then Cancelled Flight it because it doesn't have a pilot?  Now I miss my meeting Atlanta because someone slept in?"
"3498",3498,"neutral","@united I don't have a milage number. I can't sent my mail to you via DM, you're not following me. I follow you now, so you can sent me a DM"
"3499",3499,"negative","@united no response 3 weeks since complaint submitted and 3 days since you all said you would look into it"
"3500",3500,"negative","@united thx. Come hell or high water..."
"3501",3501,"negative","@united worried the cold weather or snow would delay us this morning, but no it was the pilots. #stillwaiting"
"3502",3502,"negative","@united rushed through the -6 degree weather to get to the airport on time. Too bad the pilots didn't do the same. #stillwaiting."
"3503",3503,"neutral","@united refund?"
"3504",3504,"neutral","@united aisle please"
"3505",3505,"positive","@united thanks for the quick reply! I just fill in the form #idnumber8569822 #hopetogetanswersoon"
"3506",3506,"negative","@united - handed a slip of paper,&amp;said to call 1800#. Have called 2x/day trying to get it sent, still @ layover airport.Have that ref # tho."
"3507",3507,"neutral","@united @staralliance good.  Maybe that will make up for losing my medallion.  #ProbablyNot"
"3508",3508,"positive","@united that's fine. I'll take them."
"3509",3509,"neutral","@united I live abroad and am Flight Booking Problems flights for when I come visit the states :("
"3510",3510,"neutral","@united I have."
"3511",3511,"negative","@united to recap, you bounced me off my flight, LIED TO ME, then hung up on me. What am I supposed to think/do now?"
"3512",3512,"positive","@united thank you! My second flight I already got bumped up to 1st! Love it!"
"3513",3513,"negative","@united ...she said she would need to get a supervisor. While waiting for the supervisor she hung up on me."
"3514",3514,"negative","@united ...just called and lady at your overseas call center said she saw no note. I explained the situation...again..."
"3515",3515,"negative","@united ...she could not access seat map so she said she would note the upgrade in my itinerary and to call back Late Flightr..."
"3516",3516,"negative","@united spoke to someone on your feedback line last night who said she would get me a preferred choice seat for today..."
"3517",3517,"positive","@united all goods, I'll call tomorrow, thanks."
"3518",3518,"neutral","@united next day"
"3519",3519,"neutral","@united I filled out the form but I haven’t received any sort of email confirmation that it’s been received. Is that normal?"
"3520",3520,"negative","@united loses my luggage and @hotelstonight loses my reservation. after a 10 hour travel day. I just want to get to @StartingBloc in the am!"
"3521",3521,"negative","@united oh flight was fine. my lost luggage? not so much. looks like I'll be at least a half day Late Flight to my conference in Santa Monica..."
"3522",3522,"negative","@united 8h flight without a working screen for me and my friend and not possible to move to another place #unitedfails#worsttripofmylife"
"3523",3523,"neutral","@united @UnitedFlyerHD @United_Airline N26902 Dreamliner leaves London Heathrow. @B787fans http://t.co/aI0Yzwt8Za"
"3524",3524,"negative","@united ^GJ flight 1101 didn't have wifi even though it was promised to by your ground crew. #AnotherDisappointment"
"3525",3525,"negative","@united ^GJ I will. You have to agree that 7+ hours Late Flight for arrival is unacceptable. I only hope and pray my bag is here."
"3526",3526,"negative","@united : Unhappy with United's service?

Read Ralph Nader's open letter to UAL's CEO.

Leave a comment or RT.

http://t.co/O0745APIau"
"3527",3527,"neutral","@united ok. Can I DM you the info?"
"3528",3528,"negative","@united the best seats should be for paying customers and we should get to board first #badcustomerservice"
"3529",3529,"negative","@united this happens all the time.  United pilots are always in the exit row.  America treats there customers better than their employees."
"3530",3530,"negative","@united yes when I got to the gate I specifically asked if there where any other seats.  Very discouraging to walk past the crew. 37d"
"3531",3531,"neutral","@united KOA-LAX should have fresh food service, right?"
"3532",3532,"positive","@united OMG THANK U😻😻😻"
"3533",3533,"negative","@united unavailable leg that registered hours after being sold out. Only option to offer after 45min was +$400/ticket or Travelocity (2of2)"
"3534",3534,"negative","@united error message said couldn't process request at the last step after seat selection on each leg. Agent was unaware of an (1 of 2)"
"3535",3535,"negative","@united  4348 soon going to have more wait time for a gate, in empty MSP airport than it was in flight  50 min and still counting..."
"3536",3536,"negative","@united ... horrible wait time on 4348 to get a gate  ..shows total miss  management . Value customer time and respect thier sentiment"
"3537",3537,"negative","@united  very disappointed by the service starting from gate operator at BOS , who was  rude in stopping a carry-on bag..."
"3538",3538,"negative","@united your service sucks to Mexico from houston. You finally realized that snacks in1st don't work you cheap as);:"
"3539",3539,"neutral","@united will do. Thank you!"
"3540",3540,"neutral","@united Okay, thank you both."
"3541",3541,"neutral","@united they had snacks available, just no fresh food...not sure what happened, but I'm sure we will grab a bite before our SFO connection"
"3542",3542,"negative","@united if guy on flight 1230 follows through on threat to sue because he couldn’t carry on 3 bags, I will defend you for free."
"3543",3543,"neutral","@united done as requested."
"3544",3544,"negative","@united Pls post video of belligerent jerk ranting at SFO (1230) that's he's going to sue you for making him check his 3rd bag. He's a hoot!"
"3545",3545,"negative","@united ^GJ I do believe that this is hands down the worst service I've EVER experienced. Makes @comcast look amazing. #UnitedAirlines"
"3546",3546,"positive","@united please give special thanks to Aaron in Tampa office for helping me for literally two hours! He's amazing. Mission accomplished!"
"3547",3547,"negative","@united I can't tell/purchase through the website because they put us on a Lufthansa flight for the first leg."
"3548",3548,"neutral","@united Turkish Airlines rebooked us a United flight on our second leg from FRA -&gt; IAD. Is there any way to check if upgrades are available?"
"3549",3549,"neutral","@united hey I left my favorite blanket on the plane bring it back home to me:-("
"3550",3550,"negative","@united ^GJ funny, I did and the attendant recommended me tweeting you letting you know about my subpar customer service. #RunAround"
"3551",3551,"neutral","@united followed &amp; DM'd."
"3552",3552,"neutral","@united I want a hotel room and a whiskey."
"3553",3553,"neutral","@united flight...gotta make this connector"
"3554",3554,"neutral","@united - ok noted. All details will be DM'ed to you shortly."
"3555",3555,"negative","@united @staralliance the B gates are very far though"
"3556",3556,"negative","@united UA5029 from RIC, UA507 from ORD, &amp; UA423 from DEN -ALL DELAYED for non-weather issues. Way to go, youre batting 1.000! But no hotels"
"3557",3557,"negative","@united I would have made it if you hadn't already booked me on another flight and Cancelled Flighted my original reservation."
"3558",3558,"negative","@united @staralliance how can I book reward travel in August?? Everything is blacked out."
"3559",3559,"positive","@united did I win :)"
"3560",3560,"negative","@united Trying to change a flight booked just 6 hours ago but online system is charging me $200 fee per passenger... could you please help?"
"3561",3561,"negative","@united I have submitted my complaint. I need to be compensated. How long will this take?"
"3562",3562,"neutral","@united any info on delays at SFO tomorrow due to low clouds?"
"3563",3563,"negative","@united because of the horrific flight experience, you guys have made me NEVER want to fly on an airplane every again!!!!!!!"
"3564",3564,"positive","@united flight to RSW tonight -me &amp;  twin 3 year olds. A pilot who was in row by me stayed to help me get the boys &amp; bags off. Lifesaver!!"
"3565",3565,"negative","@united My flying United is over...sorry. The Captain still had 20 minutes of pre-flight preparations to make while we sat with no air!"
"3566",3566,"neutral","@united thanks"
"3567",3567,"positive","@united yes, Thx! At 10:35 (landed at 9:20)."
"3568",3568,"negative","@united get a clue. I am a 1K/2mm miler and that is the response you give?"
"3569",3569,"negative","@united I was only trying to get my emails. What are you talking about? What most business people expect from airline wifi"
"3570",3570,"neutral","@united we finally just arrive to Bogota, good but long flight!!"
"3571",3571,"negative","@united it's not there we tried. It's already here in cancun just no one has delivered it"
"3572",3572,"negative","@united what you did was illegal and a breach of contract. I will be in touch but not through your ""customer feedback"""
"3573",3573,"negative","@united its not the way to treat your customers we had a lot of issues and it was not worth our headache we went thru"
"3574",3574,"negative","@united yes we are in EWR and it was corrected but just the fact the it was beought up for us to share rooms is unexpactable"
"3575",3575,"neutral","@united Want to make my day? :) Friend is Premier &amp; I should be soon. Any chance you can upgrade our two 10 hr leg of flights to ecom plus?"
"3576",3576,"negative","@united please review and fix your baggage procedures at Dulles because it happens every week when my sister travels there on your airline"
"3577",3577,"negative","@united nothing else from you ^GJ? Where is your customer service?"
"3578",3578,"neutral","@united that's of course in lax"
"3579",3579,"neutral","@united ok thanks! Where are you counters located? And how Late Flight are they open?"
"3580",3580,"negative","@united oh no, I'm rebooked, 7+ hours after my original arrival time. We can talk compensation."
"3581",3581,"negative","@united my coworker that had the same conflict as me with the hotel issue trying to share posted on their facebook page and they erased it!!"
"3582",3582,"negative","@united lost my parents luggage to cancun, said it would be delivered to hotel by 7PM, it is now almost 11PM"
"3583",3583,"negative","@united then watched my connecting flight in DEN pull away from the gate only to pull into THE SAME gate. #SlapInTheFace"
"3584",3584,"negative","@united @christinebpc ...and on some versions of the 738, row 11 has no window at all. Go ahead, check. We'll wait."
"3585",3585,"negative","@United I'm pretty sure I've got shin splits from SPRINTING through IAH only to watch my plane pull away from the jet way..."
"3586",3586,"negative","@united well the income flight to dca to take us to ewr was delayed and it made us miss our connection to FLL so yes hotels were necessary"
"3587",3587,"negative","@united can you please stop Cancelled Flightling your flights? I am trying to get home to take two exams tomorrow. You've Cancelled Flightled 3 flights on me."
